date,net,price
2018/2/23 0:00,1.0566,68.679
2018/2/26 0:00,1.0569,68.6985
2018/2/27 0:00,1.0571,68.7115
2018/2/28 0:00,1.0572,68.718
2018/3/1 0:00,1.0573,68.7245
2018/3/2 0:00,1.0574,68.731
2018/3/5 0:00,1.0577,68.7505
2018/3/6 0:00,1.0578,68.757
2018/3/7 0:00,1.0572,68.718
2018/3/8 0:00,1.0573,68.7245
2018/3/9 0:00,1.0576,68.744
2018/3/12 0:00,1.0579,68.7635
2018/3/13 0:00,1.058,68.77
2018/3/14 0:00,1.0576,68.744
2018/3/15 0:00,1.057,68.705
2018/3/16 0:00,1.0559,68.6335
2018/3/19 0:00,1.0555,68.6075
2018/3/20 0:00,1.0554,68.601
2018/3/21 0:00,1.0557,68.6205
2018/3/22 0:00,1.0558,68.627
2018/3/23 0:00,1.056,68.64
2018/3/26 0:00,1.0563,68.6595
2018/3/27 0:00,1.0564,68.666
2018/3/28 0:00,1.0565,68.6725
2018/3/29 0:00,1.0542,68.523
2018/3/30 0:00,1.051,68.315
2018/4/2 0:00,1.0543,68.5295
2018/4/3 0:00,1.0547,68.5555
2018/4/4 0:00,1.0556,68.614
2018/4/9 0:00,1.0563,68.6595
2018/4/10 0:00,1.0576,68.744
2018/4/11 0:00,1.0578,68.757
2018/4/12 0:00,1.0576,68.744
2018/4/13 0:00,1.0577,68.7505
2018/4/16 0:00,1.0582,68.783
2018/4/17 0:00,1.0583,68.7895
2018/4/18 0:00,1.0589,68.8285
2018/4/19 0:00,1.0595,68.8675
2018/4/20 0:00,1.0618,69.017
2018/4/23 0:00,1.06,68.9
2018/4/24 0:00,1.0602,68.913
2018/4/25 0:00,1.0639,69.1535
2018/4/26 0:00,1.0634,69.121
2018/4/27 0:00,1.0606,68.939
2018/5/2 0:00,1.0597,68.8805
2018/5/3 0:00,1.06,68.9
2018/5/4 0:00,1.0613,68.9845
2018/5/7 0:00,1.0608,68.952
2018/5/8 0:00,1.0644,69.186
2018/5/9 0:00,1.0667,69.3355
2018/5/10 0:00,1.0666,69.329
2018/5/11 0:00,1.0677,69.4005
2018/5/14 0:00,1.068,69.42
2018/5/15 0:00,1.0681,69.4265
2018/5/16 0:00,1.0681,69.4265
2018/5/17 0:00,1.0682,69.433
2018/5/18 0:00,1.0682,69.433
2018/5/21 0:00,1.0685,69.4525
2018/5/22 0:00,1.0686,69.459
2018/5/23 0:00,1.0687,69.4655
2018/5/24 0:00,1.0688,69.472
2018/5/25 0:00,1.0688,69.472
2018/5/28 0:00,1.0692,69.498
2018/5/29 0:00,1.0693,69.5045
2018/5/30 0:00,1.0694,69.511
2018/5/31 0:00,1.0695,69.5175
2018/6/1 0:00,1.0695,69.5175
2018/6/4 0:00,1.07,69.55
2018/6/5 0:00,1.0699,69.5435
2018/6/6 0:00,1.07,69.55
2018/6/7 0:00,1.07,69.55
2018/6/8 0:00,1.0701,69.5565
2018/6/11 0:00,1.0709,69.6085
2018/6/12 0:00,1.0709,69.6085
2018/6/13 0:00,1.071,69.615
2018/6/14 0:00,1.0711,69.6215
2018/6/15 0:00,1.0712,69.628
2018/6/19 0:00,1.0716,69.654
2018/6/20 0:00,1.0717,69.6605
2018/6/21 0:00,1.0719,69.6735
2018/6/22 0:00,1.072,69.68
2018/6/25 0:00,1.0725,69.7125
2018/6/26 0:00,1.0725,69.7125
2018/6/27 0:00,1.0726,69.719
2018/6/28 0:00,1.0728,69.732
2018/6/29 0:00,1.073,69.745
2018/7/2 0:00,1.0734,69.771
2018/7/3 0:00,1.0734,69.771
2018/7/4 0:00,1.0737,69.7905
2018/7/5 0:00,1.0738,69.797
2018/7/6 0:00,1.0736,69.784
2018/7/9 0:00,1.074,69.81
2018/7/10 0:00,1.0741,69.8165
2018/7/11 0:00,1.0743,69.8295
2018/7/12 0:00,1.0745,69.8425
2018/7/13 0:00,1.0745,69.8425
2018/7/16 0:00,1.0751,69.8815
2018/7/17 0:00,1.0752,69.888
2018/7/18 0:00,1.0752,69.888
2018/7/19 0:00,1.0756,69.914
2018/7/20 0:00,1.0758,69.927
2018/7/23 0:00,1.0762,69.953
2018/7/24 0:00,1.0763,69.9595
2018/7/25 0:00,1.0766,69.979
2018/7/26 0:00,1.0768,69.992
2018/7/27 0:00,1.0772,70.018
2018/7/30 0:00,1.0778,70.057
2018/7/31 0:00,1.0775,70.0375
2018/8/1 0:00,1.0778,70.057
2018/8/2 0:00,1.0781,70.0765
2018/8/3 0:00,1.0785,70.1025
2018/8/6 0:00,1.0789,70.1285
2018/8/7 0:00,1.0791,70.1415
2018/8/8 0:00,1.0793,70.1545
2018/8/9 0:00,1.0794,70.161
2018/8/10 0:00,1.0794,70.161
2018/8/13 0:00,1.0796,70.174
2018/8/14 0:00,1.0799,70.1935
2018/8/15 0:00,1.0802,70.213
2018/8/16 0:00,1.0803,70.2195
2018/8/17 0:00,1.0801,70.2065
2018/8/20 0:00,1.0805,70.2325
2018/8/21 0:00,1.0809,70.2585
2018/8/22 0:00,1.081,70.265
2018/8/23 0:00,1.0813,70.2845
2018/8/24 0:00,1.0815,70.2975
2018/8/27 0:00,1.0816,70.304
2018/8/28 0:00,1.0816,70.304
2018/8/29 0:00,1.0817,70.3105
2018/8/30 0:00,1.0818,70.317
2018/8/31 0:00,1.0819,70.3235
2018/9/3 0:00,1.0821,70.3365
2018/9/4 0:00,1.0822,70.343
2018/9/5 0:00,1.0826,70.369
2018/9/6 0:00,1.0827,70.3755
2018/9/7 0:00,1.0828,70.382
2018/9/10 0:00,1.0832,70.408
2018/9/11 0:00,1.0834,70.421
2018/9/12 0:00,1.0836,70.434
2018/9/13 0:00,1.0838,70.447
2018/9/14 0:00,1.084,70.46
2018/9/17 0:00,1.0843,70.4795
2018/9/18 0:00,1.0843,70.4795
2018/9/19 0:00,1.0843,70.4795
2018/9/20 0:00,1.0842,70.473
2018/9/21 0:00,1.0842,70.473
2018/9/26 0:00,1.0847,70.5055
2018/9/27 0:00,1.0848,70.512
2018/9/28 0:00,1.085,70.525
2018/10/8 0:00,1.0861,70.5965
2018/10/9 0:00,1.0863,70.6095
2018/10/10 0:00,1.0863,70.6095
2018/10/11 0:00,1.0864,70.616
2018/10/12 0:00,1.0867,70.6355
2018/10/15 0:00,1.0871,70.6615
2018/10/16 0:00,1.0871,70.6615
2018/10/17 0:00,1.0871,70.6615
2018/10/18 0:00,1.0872,70.668
2018/10/19 0:00,1.0872,70.668
2018/10/22 0:00,1.0876,70.694
2018/10/23 0:00,1.0877,70.7005
2018/10/24 0:00,1.0879,70.7135
2018/10/25 0:00,1.088,70.72
2018/10/26 0:00,1.088,70.72
2018/10/29 0:00,1.0883,70.7395
2018/10/30 0:00,1.0894,70.811
2018/10/31 0:00,1.0889,70.7785
2018/11/1 0:00,1.089,70.785
2018/11/2 0:00,1.0892,70.798
2018/11/5 0:00,1.0895,70.8175
2018/11/6 0:00,1.0901,70.8565
2018/11/7 0:00,1.0902,70.863
2018/11/8 0:00,1.0903,70.8695
2018/11/9 0:00,1.0914,70.941
2018/11/12 0:00,1.0914,70.941
2018/11/13 0:00,1.092,70.98
2018/11/14 0:00,1.0921,70.9865
2018/11/15 0:00,1.0921,70.9865
2018/11/16 0:00,1.0927,71.0255
2018/11/19 0:00,1.0933,71.0645
2018/11/20 0:00,1.0934,71.071
2018/11/21 0:00,1.0935,71.0775
2018/11/22 0:00,1.0935,71.0775
2018/11/23 0:00,1.0936,71.084
2018/11/26 0:00,1.0938,71.097
2018/11/27 0:00,1.0939,71.1035
2018/11/28 0:00,1.094,71.11
2018/11/29 0:00,1.0941,71.1165
2018/11/30 0:00,1.0942,71.123
2018/12/3 0:00,1.0944,71.136
2018/12/4 0:00,1.0945,71.1425
2018/12/5 0:00,1.0946,71.149
2018/12/6 0:00,1.0946,71.149
2018/12/7 0:00,1.0947,71.1555
2018/12/10 0:00,1.095,71.175
2018/12/11 0:00,1.095,71.175
2018/12/12 0:00,1.0951,71.1815
2018/12/13 0:00,1.0952,71.188
2018/12/14 0:00,1.0953,71.1945
2018/12/17 0:00,1.0956,71.214
2018/12/18 0:00,1.0957,71.2205
2018/12/19 0:00,1.0958,71.227
2018/12/20 0:00,1.0958,71.227
2018/12/21 0:00,1.0959,71.2335
2018/12/24 0:00,1.0961,71.2465
2018/12/25 0:00,1.0962,71.253
2018/12/26 0:00,1.0961,71.2465
2018/12/27 0:00,1.0962,71.253
2018/12/28 0:00,1.0963,71.2595
2019/1/2 0:00,1.0965,71.2725
2019/1/3 0:00,1.0965,71.2725
2019/1/4 0:00,1.0966,71.279
2019/1/7 0:00,1.0969,71.2985
2019/1/8 0:00,1.097,71.305
2019/1/9 0:00,1.0971,71.3115
2019/1/10 0:00,1.0972,71.318
2019/1/11 0:00,1.0973,71.3245
2019/1/14 0:00,1.0976,71.344
2019/1/15 0:00,1.0977,71.3505
2019/1/16 0:00,1.0978,71.357
2019/1/17 0:00,1.098,71.37
2019/1/18 0:00,1.0982,71.383
2019/1/21 0:00,1.0984,71.396
2019/1/22 0:00,1.0985,71.4025
2019/1/23 0:00,1.0987,71.4155
2019/1/24 0:00,1.0988,71.422
2019/1/25 0:00,1.0988,71.422
2019/1/28 0:00,1.0991,71.4415
2019/1/29 0:00,1.0992,71.448
2019/1/30 0:00,1.0993,71.4545
2019/1/31 0:00,1.0993,71.4545
2019/2/1 0:00,1.0994,71.461
2019/2/11 0:00,1.1003,71.5195
2019/2/12 0:00,1.1003,71.5195
2019/2/13 0:00,1.1004,71.526
2019/2/14 0:00,1.1005,71.5325
2019/2/15 0:00,1.1006,71.539
2019/2/18 0:00,1.1009,71.5585
2019/2/19 0:00,1.101,71.565
2019/2/20 0:00,1.1011,71.5715
